arm	start	end	fbgn	current_name	strand	temp13_avg	temp18_avg	temp23_avg	temp29_avg
2L	10710118	10710729				0.0	0.0	0.0	0.0
2L	11581864	11582719				0.0	0.0	0.0	0.0
2L	11582864	11583080				0.0	0.0	0.0	0.0
2L	11588552	11589174				0.0	0.16666666666666666	0.0	0.0
2L	11661679	11662559				0.0	0.5833333333333334	0.0	0.0
2L	11663230	11663806				0.0	0.0	0.0	0.0
2L	11665215	11665846				0.0	0.0	0.0	0.0
2L	12024034	12025219				0.16666666666666666	0.0	0.0	0.08333333333333333
2L	12086617	12088073				0.0	0.0	0.0	0.0
2L	12092769	12093234				0.0	0.08333333333333333	0.0	0.0
2L	12581506	12583539				0.6666666666666666	0.08333333333333333	0.5	0.25
2L	12840864	12841381				0.0	0.0	0.0	0.0
2L	13642820	13643256				0.0	0.0	0.0	0.0
2L	14234745	14235149				1.9166666666666667	1.1666666666666667	0.6666666666666666	0.5
2L	14486023	14486839				0.0	0.0	0.0	0.0
2L	14496969	14498135				0.0	0.0	0.0	0.0
2L	14532476	14533501				0.0	0.0	0.0	0.0
2L	14550432	14550962				0.0	0.0	0.0	0.0
2L	14787485	14788014				0.0	0.0	0.0	0.0
2L	14839754	14840121				0.0	0.0	0.0	0.0
2L	15279832	15280513				0.0	0.0	0.0	0.0
2L	15398654	15399399				0.0	0.0	0.0	0.0
2L	15441586	15442376				0.16666666666666666	0.0	0.0	0.0
2L	15515802	15516745				0.0	0.0	0.0	0.0
2L	15807611	15807911				0.0	0.0	0.0	0.0
2L	15822367	15822966				0.0	0.0	0.0	0.0
2L	15865315	15883206				0.0	0.0	0.0	0.0
2L	16965484	16965771				0.0	0.0	0.0	0.0
2L	17017737	17018060				0.0	0.0	0.0	0.0
2L	17354882	17355556				0.0	0.0	0.0	0.0
2L	17583319	17584544				0.0	0.0	0.0	0.0
2L	17584687	17585177				0.0	0.0	0.0	0.0
2L	17588172	17588749				0.0	0.08333333333333333	0.0	0.0
2L	17606468	17607258				0.0	0.0	0.0	0.0
2L	17902827	17903063				0.0	0.0	0.0	0.0
2L	17948137	17948847				0.0	0.0	0.0	0.0
2L	17950131	17951054				0.0	0.0	0.0	0.0
2L	18112446	18113175				0.0	0.0	0.0	0.0
2L	18278563	18279510				0.0	0.0	0.0	0.0
2L	18302777	18303179				0.0	0.0	0.0	0.0
2L	18313534	18314078				0.0	0.0	0.0	0.0
2L	18400490	18401303				0.0	0.0	0.0	0.0
2L	18466642	18468081				0.08333333333333333	0.3333333333333333	0.16666666666666666	0.0
2L	18468178	18469239				0.16666666666666666	0.08333333333333333	0.08333333333333333	0.08333333333333333
2L	18664469	18665119				0.0	0.0	0.0	0.0
2L	18795816	18796184				0.0	0.0	0.0	0.0
2L	19327282	19328001				0.0	0.0	0.0	0.0
2L	20464698	20465827				0.0	0.0	0.0	0.0
2L	20483811	20484448				0.0	0.0	0.0	0.0
2L	20489794	20490231				1.5	0.8333333333333334	0.8333333333333334	0.16666666666666666
2L	20625139	20625532				0.0	0.0	0.0	0.0
2L	20625663	20626215				0.0	0.0	0.0	0.0
2L	20947036	20948205				0.0	0.0	0.0	0.0
2L	21866966	21867528				0.0	0.0	0.0	0.0
2L	21868225	21868869				0.8333333333333334	0.25	0.16666666666666666	0.16666666666666666
2L	21869108	21869569				0.5	0.0	0.0	0.0
2L	21869640	21870731				0.6666666666666666	0.0	0.0	0.0
2L	21919537	21920108				0.0	0.0	0.0	0.0
2L	21977298	21977662				0.0	0.0	0.0	0.0
2L	21999738	22000441				0.0	0.0	0.0	0.0
2L	22055405	22056152				0.0	0.0	0.0	0.0
2L	22169643	22170188				4.666666666666667	4.416666666666667	1.3333333333333333	3.4166666666666665
2L	22462738	22463083				0.4166666666666667	0.16666666666666666	0.0	0.0
2L	22705365	22706170				0.0	0.0	0.0	0.0
2L	22713565	22714181				0.0	0.0	0.0	0.0
2L	22714447	22714996				0.0	0.0	0.0	0.0
2L	22715085	22715570				0.0	0.0	0.0	0.0
2L	22715745	22715961				0.0	0.0	0.0	0.0
2L	22716168	22717458				0.0	0.0	0.0	0.0
2L	22923851	22925105				0.0	0.0	0.0	0.0
2L	3210520	3211409				0.0	0.0	0.0	0.0
2L	3268204	3268702				0.0	0.0	0.0	0.0
2L	3851866	3852688				0.0	0.0	0.0	0.0
2L	4255640	4256519				0.0	0.0	0.0	0.0
2L	4612565	4613604				0.0	0.0	0.0	0.0
2L	4614013	4614300				0.0	0.0	0.0	0.0
2L	5287301	5288761				0.0	0.0	0.0	0.0
2L	5661850	5662252				0.0	0.0	0.0	0.0
2L	5690532	5691832				0.0	0.0	0.0	0.0
2L	6138966	6139293				0.0	0.0	0.0	0.0
2L	6360412	6361455				0.0	0.0	0.0	0.0
2L	799858	800348				0.0	0.0	0.0	0.08333333333333333
2L	858412	858976				1.5833333333333333	0.0	0.08333333333333333	0.16666666666666666
2L	859035	859430				0.9166666666666666	0.08333333333333333	0.08333333333333333	0.16666666666666666
2L	8887436	8888049				0.0	0.0	0.0	0.0
2L	9031553	9031838				0.0	0.0	0.0	0.0
2L	9121574	9121945				0.0	0.0	0.0	0.0
2L	9327018	9327652				0.0	0.0	0.0	0.0
2R	11259541	11259772				0.0	0.0	0.0	0.0
2R	12187632	12189733				0.0	0.0	0.08333333333333333	0.08333333333333333
2R	12189967	12193362				0.0	0.0	0.08333333333333333	0.08333333333333333
2R	12193544	12194199				0.0	0.0	0.0	0.0
2R	12253214	12253455				0.0	0.0	0.0	0.0
2R	12619543	12619837				0.0	0.0	0.0	0.0
2R	12625498	12625827				0.0	0.0	0.0	0.0
2R	12697969	12698823				0.08333333333333333	0.0	0.0	0.0
2R	12699790	12700474				0.0	0.0	0.0	0.0
2R	12701854	12702913				0.16666666666666666	0.16666666666666666	0.0	0.0
2R	12710675	12711040				0.0	0.0	0.0	0.0
2R	12723495	12724001				3.5	1.4166666666666667	1.5833333333333333	1.1666666666666667
2R	12725458	12726114				14.75	10.5	8.833333333333334	15.25
2R	12726127	12727010				0.0	0.0	0.0	0.0
2R	12732820	12733499				0.0	0.0	0.0	0.0
2R	12851797	12852429				0.0	0.0	0.0	0.0
2R	1288050	1288825				0.0	0.0	0.0	0.0
2R	13076351	13076653				0.0	0.0	0.0	0.0
2R	13076780	13077450				0.0	0.0	0.0	0.0
2R	135227	135517				0.0	0.0	0.0	0.0
2R	13688237	13689549				0.0	0.0	0.0	0.08333333333333333
2R	14083913	14084231				0.25	0.0	0.0	0.0
2R	14115259	14116106				0.0	0.0	0.0	0.0
2R	14133631	14134372				0.0	0.0	0.0	0.0
2R	14144611	14145156				0.0	0.0	0.0	0.0
2R	14703041	14703879				0.0	0.0	0.0	0.0
2R	15673498	15675384				0.0	0.0	0.0	0.0
2R	15675483	15675942				0.0	0.0	0.0	0.0
2R	15676152	15677294				0.0	0.0	0.0	0.0
2R	15784985	15786246				0.0	0.0	0.0	0.0
2R	15843737	15844530				0.0	0.0	0.0	0.0
2R	15951792	15953400				0.08333333333333333	0.0	0.0	0.0
2R	15955909	15956695				0.0	0.0	0.0	0.0
2R	15961421	15962798				0.0	0.0	0.0	0.0
2R	159662	160540				0.08333333333333333	0.25	0.16666666666666666	0.0
2R	16038129	16038498				0.0	0.0	0.0	0.0
2R	16108812	16109668				0.0	0.0	0.0	0.0
2R	16180071	16180565				1.3333333333333333	0.8333333333333334	0.25	0.75
2R	16378364	16379809				0.0	0.0	0.0	0.0
2R	16724844	16726724				0.0	0.0	0.0	0.0
2R	17594597	17594815				0.3333333333333333	0.08333333333333333	0.16666666666666666	0.0
2R	17615031	17615721				0.0	0.0	0.0	0.0
2R	17759238	17759474				0.0	0.0	0.0	0.0
2R	18201046	18204167				12.583333333333334	9.833333333333334	7.25	9.333333333333334
2R	18261226	18261489				0.0	0.0	0.0	0.0
2R	18568246	18570451				6.5	5.333333333333333	3.5833333333333335	3.5833333333333335
2R	20626292	20627154				0.0	0.0	0.0	0.0
2R	20746532	20747700				0.0	0.0	0.0	0.0
2R	21144668	21145446				19.0	10.916666666666666	7.833333333333333	8.416666666666666
2R	5332923	5333301				0.0	0.0	0.0	0.0
2R	5964503	5964821				0.0	0.08333333333333333	0.08333333333333333	0.08333333333333333
2R	6833797	6834707				0.0	0.0	0.0	0.0
2R	7592327	7592857				0.0	0.0	0.0	0.0
2R	8664864	8665279				0.0	0.0	0.0	0.0
2R	8666021	8666221				0.0	0.0	0.0	0.0
3L	10262358	10263528				1.0833333333333333	1.5	1.0833333333333333	1.1666666666666667
3L	10280063	10283024				0.0	0.0	0.0	0.0
3L	10283153	10285179				0.0	0.0	0.08333333333333333	0.0
3L	10285249	10285835				0.0	0.0	0.0	0.0
3L	10287213	10288342				0.0	0.0	0.0	0.0
3L	10294166	10296800				0.0	0.0	0.0	0.0
3L	10319682	10320739				0.6666666666666666	0.08333333333333333	0.16666666666666666	0.16666666666666666
3L	10325582	10326440				27.5	12.583333333333334	8.25	5.666666666666667
3L	10777630	10778479				2.3333333333333335	4.75	4.833333333333333	7.833333333333333
3L	10782432	10783082				0.0	0.0	0.0	0.0
3L	10788056	10788284				0.0	0.16666666666666666	0.0	0.0
3L	10842812	10843751				0.0	0.0	0.0	0.0
3L	10952312	10953111				0.0	0.0	0.0	0.0
3L	10954440	10955281				0.0	0.0	0.0	0.0
3L	11244421	11244992				0.0	0.0	0.08333333333333333	0.0
3L	11335072	11335560				0.0	0.0	0.0	0.0
3L	11342529	11343003				0.08333333333333333	0.08333333333333333	0.08333333333333333	0.25
3L	12188877	12189228				0.0	0.0	0.0	0.0
3L	12654917	12655433				0.16666666666666666	0.0	0.0	0.0
3L	127329	127689				0.0	0.0	0.0	0.0
3L	12917768	12918340				0.0	0.0	0.0	0.0
3L	13119844	13120114				0.0	0.0	0.0	0.0
3L	13210339	13210766				0.0	0.0	0.0	0.0
3L	13211282	13211960				0.0	0.0	0.0	0.0
3L	13317392	13318146				0.0	0.0	0.0	0.0
3L	13332969	13333800				0.0	0.0	0.0	0.0
3L	13336607	13337501				0.0	0.0	0.0	0.0
3L	14127816	14128273				0.0	0.0	0.0	0.0
3L	15167421	15167795				0.0	0.0	0.0	0.0
3L	15183491	15184120				0.0	0.0	0.0	0.0
3L	15526993	15527240				0.0	0.0	0.0	0.0
3L	16182863	16183422				0.0	0.0	0.0	0.0
3L	16188302	16188658				0.0	0.0	0.0	0.0
3L	16188719	16189256				0.0	0.08333333333333333	0.0	0.0
3L	16189618	16190258				0.0	0.0	0.0	0.0
3L	17268159	17268698				0.0	0.0	0.0	0.0
3L	17286396	17286855				0.0	0.0	0.0	0.0
3L	17918176	17919790				0.3333333333333333	0.08333333333333333	0.0	0.3333333333333333
3L	18070424	18071184				0.16666666666666666	0.5833333333333334	0.5	0.5833333333333334
3L	18200060	18200362				0.0	0.0	0.0	0.0
3L	18233591	18234137				0.0	0.0	0.0	0.0
3L	18236054	18236448				0.0	0.0	0.0	0.0
3L	18236571	18237300				0.25	0.08333333333333333	0.0	0.0
3L	18316644	18317098				0.0	0.0	0.0	0.0
3L	18421630	18422370				0.0	0.0	0.0	0.0
3L	18468394	18468792				0.0	0.0	0.0	0.0
3L	18471894	18472343				0.08333333333333333	0.0	0.08333333333333333	0.16666666666666666
3L	18539412	18540159				0.0	0.0	0.0	0.0
3L	19045414	19045936				0.0	0.0	0.0	0.0
3L	19433045	19433737				0.0	0.0	0.0	0.0
3L	19447904	19448764				0.0	0.0	0.0	0.0
3L	19553863	19554443				0.0	0.0	0.0	0.0
3L	19672038	19673255				0.0	0.0	0.0	0.0
3L	2009590	2010824				0.0	0.0	0.0	0.0
3L	20619660	20620724				0.0	0.0	0.0	0.0
3L	20626115	20626713				0.0	0.0	0.0	0.0
3L	20879971	20881139				0.0	0.0	0.0	0.0
3L	20943480	20943883				0.0	0.16666666666666666	0.0	0.0
3L	20944907	20945301				0.0	0.0	0.0	0.0
3L	20980311	20980736				0.0	0.0	0.0	0.0
3L	20983767	20983982				0.0	0.0	0.0	0.0
3L	21677180	21678081				0.0	0.0	0.0	0.0
3L	22413968	22414504				0.0	0.0	0.0	0.0
3L	22489393	22490207				0.0	0.0	0.0	0.0
3L	22491399	22491921				0.0	0.0	0.0	0.0
3L	22503294	22504382				0.0	0.0	0.0	0.0
3L	22889238	22889835				0.8333333333333334	1.25	1.25	4.333333333333333
3L	22891284	22891707				0.0	0.0	0.0	0.0
3L	24033171	24034096				0.0	0.0	0.0	0.0
3L	2975467	2976248				0.0	0.0	0.0	0.0
3L	3244787	3246200				0.0	0.08333333333333333	0.0	0.0
3L	47494	48292				0.0	0.0	0.0	0.0
3L	6297407	6298622				0.0	0.0	0.0	0.0
3L	6298758	6299453				0.0	0.4166666666666667	0.0	0.0
3L	6633965	6634657				0.0	0.0	0.0	0.0
3L	6757149	6760068				0.0	0.0	0.0	0.0
3L	6768308	6768575				0.08333333333333333	0.0	0.0	0.0
3L	6777024	6777596				0.0	0.0	0.0	0.0
3L	6780376	6780918				0.0	0.0	0.0	0.0
3L	6808520	6810090				0.0	0.0	0.0	0.0
3L	6858575	6859581				0.0	0.0	0.0	0.08333333333333333
3L	6890810	6891782				0.0	0.0	0.0	0.0
3L	6891927	6893235				0.0	0.0	0.0	0.0
3L	6893299	6897455				0.0	0.0	0.08333333333333333	0.0
3L	6908429	6908824				0.0	0.0	0.0	0.0
3L	6923577	6925075				0.0	0.0	0.0	0.0
3L	713006	713754				0.0	0.0	0.0	0.0
3L	7215808	7217014				0.0	0.0	0.0	0.0
3L	732775	734560				0.0	0.0	0.08333333333333333	0.0
3L	7381594	7382056				0.0	0.0	0.0	0.0
3L	812718	814712				0.0	0.0	0.0	0.0
3L	8685536	8686363				0.0	0.0	0.0	0.0
3L	9868810	9869451				0.0	0.0	0.0	0.0
3R	10829515	10830733				0.0	0.0	0.0	0.0
3R	11543436	11543867				0.0	0.0	0.0	0.0
3R	12032088	12032346				0.0	0.0	0.0	0.0
3R	12032516	12033552				0.6666666666666666	0.08333333333333333	0.16666666666666666	0.08333333333333333
3R	12033589	12034831				4.916666666666667	2.5	1.25	1.0833333333333333
3R	12039779	12040805				0.0	0.0	0.0	0.0
3R	12049164	12049583				0.0	0.0	0.0	0.0
3R	12232328	12232883				0.0	0.0	0.0	0.0
3R	12608783	12610406				0.0	0.0	0.0	0.0
3R	13464605	13465373				0.0	0.0	0.0	0.0
3R	13983258	13984382				0.0	0.0	0.0	0.0
3R	15158810	15159946				0.0	0.0	0.0	0.0
3R	1549831	1550766				0.0	0.0	0.0	0.0
3R	16311400	16312388				0.0	0.0	0.0	0.0
3R	1791812	1792127				0.0	0.0	0.0	0.0
3R	1814949	1816063				0.0	0.0	0.0	0.0
3R	18973610	18974895				0.0	0.0	0.0	0.0
3R	20979499	20980043				0.0	0.0	0.0	0.0
3R	21321779	21322181				0.0	0.0	0.0	0.0
3R	22519843	22520719				0.0	0.0	0.0	0.0
3R	23158857	23159153				0.0	0.0	0.0	0.0
3R	23162529	23163336				0.0	0.0	0.0	0.0
3R	23329108	23329801				5.916666666666667	0.6666666666666666	0.08333333333333333	0.25
3R	23825202	23826732				0.0	0.0	0.0	0.0
3R	24602543	24603586				0.0	0.0	0.0	0.0
3R	25181800	25182504				0.0	0.0	0.0	0.0
3R	25195043	25195550				1.3333333333333333	0.5	0.16666666666666666	0.08333333333333333
3R	26438706	26440784				0.0	0.0	0.0	0.0
3R	26490454	26491931				4.166666666666667	2.1666666666666665	0.9166666666666666	0.6666666666666666
3R	26540772	26542577				3.8333333333333335	0.5	0.5	0.25
3R	2703158	2710974				0.0	0.0	0.0	0.0
3R	2718604	2719774				0.08333333333333333	0.0	0.0	0.0
3R	27513781	27514433				0.0	0.0	0.0	0.0
3R	27840578	27840786				0.0	0.0	0.0	0.0
3R	3213187	3214222				0.0	0.0	0.0	0.0
3R	3238464	3239186				0.0	0.0	0.0	0.0
